Employee_ID,Hire_Date,Age,Gender,Marital_Status,Region,Education_Level,Department,Employment_Type,Shift,Tenure_Years,Monthly_Salary_PHP,Performance_Score,Performance_Rating,Training_Hours_YTD,Absences_YTD,Overtime_Hours_Monthly,Distance_Office_KM,Job_Satisfaction_Score,Work_Life_Balance_Score,Num_Promotions,Prev_Companies,Attrition,Hire_Year,Salary_Bracket,Age_Group,High_Performer,Engagement_Score,Promotion_Rate,Overtime_Intensity,Cluster
EMP01878,2023-10-06,31.0,Female,Single,NCR,Bachelor,IT,Regular,Afternoon,9.1,54500.0,5.0,Outstanding,56.0,6,17,14.0,5.7,5.3,3,1,0,2023,High,Mid-Career (31-45),1,5.5,0.32967032967032966,Moderate,3
EMP05886,2013-04-05,50.0,Female,Married,NCR,Master,Customer Service,Regular,Morning,21.9,47000.0,3.1,Meets Expectations,37.0,10,18,4.0,3.6,4.8,4,5,0,2013,High,Senior (46+),0,4.2,0.18264840182648404,Moderate,3
EMP03485,2013-02-07,39.0,Male,Single,Region VII,Bachelor,Finance,Contractual,Night,9.9,46000.0,3.8,Exceeds Expectations,42.0,8,20,211.0,5.2,5.9,2,0,0,2013,High,Mid-Career (31-45),0,5.550000000000001,0.20202020202020202,Moderate,3
EMP03289,2022-01-07,55.0,Female,Married,Region XI,Vocational,Finance,Contractual,Graveyard,17.3,50000.0,4.0,Exceeds Expectations,42.0,7,23,300.0,4.6,2.3,4,2,1,2022,High,Senior (46+),1,3.4499999999999997,0.23121387283236994,High,3
EMP01812,2020-01-26,39.0,Female,Separated,CAR,Master,Customer Service,Regular,Night,18.8,56500.0,1.0,Needs Improvement,30.0,19,30,300.0,2.4,4.0,1,2,1,2020,High,Mid-Career (31-45),0,3.2,0.05319148936170213,High,2
EMP01249,2020-10-21,58.0,Female,Single,NCR,PhD,Legal/Compliance,Contractual,Night,13.8,78500.0,3.3,Meets Expectations,34.0,19,6,14.0,2.0,4.0,3,3,1,2020,Very High,Senior (46+),0,3.0,0.21739130434782608,Low,2
EMP04299,2013-06-05,58.0,Male,Widowed,NCR,Bachelor,Sales,Regular,Morning,20.4,51000.0,4.1,Exceeds Expectations,62.0,8,29,4.0,3.5,6.7,6,3,0,2013,High,Senior (46+),1,5.1,0.29411764705882354,High,1
EMP01107,2009-06-26,43.0,Male,Single,NCR,Bachelor,Sales,Regular,Graveyard,14.1,35000.0,5.0,Outstanding,39.0,13,23,10.0,6.7,2.0,5,0,0,2009,Medium,Mid-Career (31-45),1,4.35,0.3546099290780142,High,3
EMP01280,2012-02-12,34.0,Male,Single,Region IV-A,Bachelor,Marketing,Project-based,Morning,4.5,36000.0,1.0,Needs Improvement,23.0,14,14,28.0,2.9,6.3,0,0,1,2012,Medium,Mid-Career (31-45),0,4.6,0.0,Moderate,2
EMP02282,2016-08-17,51.0,Female,Married,Region III,Bachelor,IT,Contractual,Night,13.1,62500.0,3.2,Meets Expectations,46.0,11,14,74.0,6.2,7.2,3,1,0,2016,Very High,Senior (46+),0,6.7,0.22900763358778625,Moderate,3
